 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    5.17048264     5.1700      3.0720      4.3231      4.3240      0.4033   0.0000
   5.50    5.25883865     5.2580      3.0930      4.3380      4.3690      0.4033   0.0000
   5.50    5.29999971     5.2990      3.1030      4.3445      4.3890      0.4033   0.0000
   5.50    5.33198977     5.3310      3.1110      4.3495      4.4040      0.4033   0.0000
   5.50    5.43016958     5.4290      3.1310      4.3631      4.4460      0.4033   0.0000
   5.50    5.53416300     5.5320      3.1470      4.3745      4.4840      0.4033   0.0000
   5.50    5.59999990     5.5970      3.1520      4.3800      4.5050      0.4033   0.0000
   5.50    5.66085148     5.6590      3.1580      4.3853      4.5260      0.4033   0.0000
   5.50    5.82951880     5.8290      3.1480      4.3896      4.5660      0.4033   0.0000
   5.50    5.90000010     5.9000      3.1430      4.3893      4.5750      0.4033   0.0000
   5.50    5.95069790     5.9500      3.1400      4.3892      4.5820      0.4033   0.0000
   5.50    6.08940125     6.0870      3.1450      4.3894      4.5880      0.4033   0.0000
   5.50    6.20000029     6.1960      3.1590      4.3908      4.5870      0.4033   0.0000
   5.50    6.32321262     6.3190      3.1720      4.3920      4.5870      0.4033   0.0000
   5.50    6.50000000     6.4950      3.2110      4.3971      4.5810      0.4033   0.0000
   5.50    6.80000019     6.7910      3.2720      4.4053      4.5710      0.4033   0.0000
   5.50    6.96646261     6.9560      3.3060      4.4096      4.5650      0.4033   0.0000
   5.50    7.09999990     7.0900      3.3320      4.4135      4.5630      0.4033   0.0000
   5.50    8.00000000     8.0010      3.4950      4.4374      4.5480      0.4033   0.0000
   5.50    9.50000000     9.4540      3.7170      4.4695      4.5270      0.4033   0.0000
   5.50   11.00000000    11.0010      3.9150      4.4974      4.5060      0.4033   0.0000
   5.50   12.50000095    12.4700      4.0740      4.5194      4.4900      0.4045   1.0000
   5.50   14.00000000    13.9920      4.2190      4.5381      4.4690      0.4086   1.0000
   5.50   14.99826050    14.9760      4.3010      4.5501      4.4640      0.4086   1.0000
   5.50   15.50000000    15.4710      4.3410      4.5560      4.4630      0.4086   1.0000
   5.50   18.50000000    18.4700      4.5510      4.5839      4.4410      0.4086   1.0000
   5.50   21.50000000    21.4140      4.7180      4.6062      4.4280      0.4086   1.0000
   5.50   23.34573936    23.2900      4.8100      4.6183      4.4200      0.4086   1.0000
   5.50   24.50000000    24.4640      4.8650      4.6255      4.4160      0.4086   1.0000
   5.50   27.50000000    27.4480      4.9880      4.6415      4.4070      0.4086   1.0000
   5.50   33.50000000    33.3950      5.1870      4.6669      4.3940      0.4086   1.0000
   5.50   39.50000000    39.4450      5.3490      4.6863      4.3830      0.4086   1.0000
   5.50   42.49999619    42.4100      5.4160      4.6942      4.3780      0.4086   1.0000
   5.50   50.00000000    49.9680      5.5650      4.7110      4.3680      0.4086   0.0000
   5.50   54.63946915    54.5620      5.6420      4.7193      4.3620      0.4086   0.0000
   5.50   54.76190567    54.6880      5.6430      4.7195      4.3620      0.4086   0.0000
   5.50   59.52381134    59.4270      5.7140      4.7268      4.3570      0.4086   0.0000
   5.50   60.96665192    60.8750      5.7340      4.7288      4.3560      0.4086   0.0000
   5.50   64.28571320    64.2070      5.7780      4.7331      4.3530      0.4086   0.0000
   5.50   69.04762268    68.9150      5.8360      4.7388      4.3480      0.4086   0.0000
   5.50   71.44035339    71.2960      5.8630      4.7413      4.3460      0.4086   0.0000
   5.50   73.80952454    73.6620      5.8890      4.7437      4.3440      0.4086   0.0000
   5.50   78.57142639    78.4290      5.9370      4.7482      4.3400      0.4086   0.0000
   5.50   83.33333588    83.1000      5.9820      4.7520      4.3360      0.4086   0.0000
   5.50   88.09523773    87.9000      6.0240      4.7557      4.3320      0.4086   0.0000
   5.50   92.85714722    92.7110      6.0640      4.7590      4.3290      0.4086   0.0000
   5.50  102.38095856   102.0250      6.1340      4.7645      4.3220      0.4086   0.0000
   5.50  107.14285278   106.5270      6.1650      4.7667      4.3190      0.4086   0.0000
   5.50  111.90476990   111.2290      6.1960      4.7690      4.3160      0.4086   0.0000
   5.50  130.95239258   129.9100      6.3040      4.7762      4.3050      0.4086   0.0000
