 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50    5.42239523     5.4210      3.1240      4.3190      4.2760      0.4032   0.0000
   5.50    5.46438551     5.4630      3.1330      4.3259      4.2980      0.4032   0.0000
   5.50    5.51337147     5.5120      3.1430      4.3340      4.3240      0.4032   0.0000
   5.50    5.60781813     5.6070      3.1630      4.3486      4.3700      0.4032   0.0000
   5.50    5.69657850     5.6950      3.1810      4.3610      4.4090      0.4032   0.0000
   5.50    5.71019411     5.7090      3.1830      4.3628      4.4140      0.4032   0.0000
   5.50    5.84031963     5.8380      3.2000      4.3755      4.4580      0.4032   0.0000
   5.50    5.92877150     5.9250      3.2040      4.3813      4.4840      0.4032   0.0000
   5.50    6.10411787     6.0990      3.2000      4.3869      4.5230      0.4032   0.0000
   5.50    6.16096401     6.1550      3.1970      4.3870      4.5300      0.4032   0.0000
   5.50    6.23839808     6.2320      3.1930      4.3870      4.5390      0.4032   0.0000
   5.50    6.39315701     6.3840      3.2020      4.3879      4.5440      0.4032   0.0000
   5.50    6.41719151     6.4080      3.2030      4.3880      4.5450      0.4032   0.0000
   5.50    6.53073978     6.5200      3.2130      4.3889      4.5470      0.4032   0.0000
   5.50    6.62535000     6.6140      3.2330      4.3915      4.5440      0.4032   0.0000
   5.50    7.04580832     7.0300      3.3130      4.4021      4.5320      0.4032   0.0000
   5.50    7.32192802     7.3050      3.3660      4.4098      4.5270      0.4032   0.0000
   5.50    8.48289204     8.4420      3.5620      4.4386      4.5090      0.4032   0.0000
   5.50    9.64385605     9.5970      3.7330      4.4637      4.4940      0.4032   0.0000
   5.50   10.80482101    10.7360      3.8790      4.4845      4.4800      0.4035   0.0000
   5.50   11.96578407    11.8870      4.0100      4.5021      4.4640      0.4043   1.0000
   5.50   13.12674904    13.0220      4.1250      4.5173      4.4490      0.4043   1.0000
   5.50   15.44867706    15.3010      4.3230      4.5462      4.4360      0.4086   0.0000
   5.50   17.77060509    17.5720      4.4870      4.5682      4.4200      0.4086   1.0000
   5.50   20.09253311    19.8610      4.6290      4.5875      4.4080      0.4086   0.0000
   5.50   22.41446114    22.1440      4.7510      4.6023      4.3930      0.4086   1.0000
   5.50   27.05831909    26.6890      4.9530      4.6290      4.3790      0.4086   1.0000
   5.50   31.70217323    31.2510      5.1170      4.6498      4.3670      0.4086   1.0000
   5.50   34.02410126    33.5160      5.1870      4.6586      4.3630      0.4086   1.0000
   5.50   39.82892609    39.2240      5.3390      4.6771      4.3530      0.4086   0.0000
   5.50   44.75227356    44.2160      5.4520      4.6903      4.3450      0.4086   0.0000
   5.50   49.67562485    49.1900      5.5480      4.7012      4.3380      0.4086   0.0000
   5.50   54.59897614    54.1430      5.6330      4.7103      4.3320      0.4086   0.0000
   5.50   59.52232361    59.0690      5.7080      4.7181      4.3260      0.4086   0.0000
