 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50   22.19714546    22.1790      4.7640      4.5589      4.2080      0.4087   0.0000
   5.50   24.00000000    23.9760      4.8530      4.5711      4.2010      0.4087   0.0000
   5.50   28.00000000    27.9330      5.0190      4.5928      4.1880      0.4087   0.0000
   5.50   30.00000000    29.9140      5.0910      4.6018      4.1820      0.4087   0.0000
   5.50   35.00000000    34.8520      5.2460      4.6204      4.1670      0.4087   0.0000
   5.50   40.00000000    39.7860      5.3740      4.6344      4.1530      0.4087   0.0000
   5.50   41.30138016    41.0630      5.4030      4.6374      4.1500      0.4087   0.0000
   5.50   50.00000000    49.5720      5.5760      4.6550      4.1290      0.4087   0.0000
   5.50   55.00000000    54.4120      5.6570      4.6618      4.1150      0.4087   0.0000
   5.50   60.00000000    59.2440      5.7300      4.6677      4.1040      0.4087   0.0000
   5.50   65.00000000    64.0410      5.7940      4.6726      4.0930      0.4087   0.0000
   5.50   70.00000000    68.8720      5.8540      4.6764      4.0800      0.4087   0.0000
   5.50   76.34884644    74.9020      5.9200      4.6801      4.0650      0.4087   0.0000
   5.50   80.00000000    78.3610      5.9550      4.6821      4.0570      0.4087   0.0000
   5.50   90.00000000    87.9890      6.0430      4.6857      4.0340      0.4087   0.0000
   5.50   95.00000000    92.7170      6.0830      4.6869      4.0220      0.4087   0.0000
   5.50  100.00000000    97.4240      6.1190      4.6877      4.0100      0.4087   0.0000
   5.50  123.54680634   118.8960      6.2640      4.6870      3.9490      0.3929   0.0000
   5.50  135.32948303   128.5470      6.3230      4.6842      3.9130      0.3437   0.0000
   5.50  143.10748291   135.3280      6.3600      4.6834      3.8950      0.3276   0.0000
   5.50  147.98617554   139.9340      6.3820      4.6840      3.8900      0.3366   0.0000
   5.50  149.15563965   141.7700      6.3870      4.6867      3.9010      0.4087   0.0000
   5.50  150.00000000   143.0470      6.3910      4.6877      3.9050      0.4087   0.0000
   5.50  199.99996948   188.9200      6.5700      4.6896      3.8540      0.3547   0.0000
   5.50  209.12390137   196.5330      6.5980      4.6910      3.8500      0.3322   0.0000
   5.50  215.29328918   201.6970      6.6150      4.6923      3.8490      0.2397   0.0000
   5.50  232.19395447   216.9390      6.6600      4.6960      3.8500      0.2617   0.0000
   5.50  250.00000000   233.2970      6.7040      4.6989      3.8490      0.3062   0.0000
   5.50  300.00000000   277.3710      6.8070      4.6998      3.8250      0.2070   0.0000
   5.50  350.00000000   321.8710      6.8950      4.7094      3.8400      0.0469   0.0000
   5.50  350.00064087   318.5900      6.8930      4.7026      3.8110      0.0775   0.0000
   5.50  350.00225830   308.2540      6.8880      4.6873      3.7400      0.1978   0.0000
   5.50  350.00332642   299.1480      6.8840      4.6786      3.6960      0.3190   0.0000
   5.50  350.00415039   290.7660      6.8800      4.6732      3.6660      0.4143   0.0000
   5.50  350.00485229   282.5160      6.8770      4.6684      3.6380      0.4674   0.0000
   5.50  350.00543213   274.3480      6.8730      4.6648      3.6140      0.4905   0.0000
   5.50  350.00588989   267.4300      6.8700      4.6627      3.5980      0.5002   0.0000
   5.50  350.00628662   261.0780      6.8670      4.6610      3.5830      0.5031   0.0000
   5.50  350.00671387   253.3400      6.8640      4.6597      3.5680      0.5041   0.0000
   5.50  350.00704956   246.2320      6.8610      4.6591      3.5570      0.5035   0.0000
   5.50  350.00738525   239.2290      6.8580      4.6589      3.5470      0.5026   0.0000
   5.50  350.00765991   232.6110      6.8550      4.6588      3.5370      0.5015   0.0000
   5.50  350.00784302   221.6910      6.8390      4.6617      3.5440      0.5013   0.0000
   5.50  350.00796509   209.1170      6.8120      4.6605      3.5400      0.5002   0.0000
   5.50  350.00808716   193.7580      6.7770      4.6617      3.5470      0.4995   0.0000
   5.50  350.00820923   178.8220      6.7390      4.6602      3.5450      0.4984   0.0000
   5.50  350.00833130   165.3400      6.7010      4.6588      3.5430      0.4971   0.0000
   5.50  350.00842285   152.9200      6.6620      4.6574      3.5420      0.4959   0.0000
   5.50  350.00854492   141.4360      6.6240      4.6560      3.5410      0.4948   0.0000
   5.50  350.00863647   131.0610      6.5860      4.6547      3.5400      0.4936   0.0000
   5.50  350.00875854   121.2810      6.5480      4.6533      3.5390      0.4926   0.0000
   5.50  350.00888062   112.2300      6.5100      4.6520      3.5390      0.4916   0.0000
   5.50  350.00897217   103.8690      6.4710      4.6509      3.5390      0.4906   0.0000
   5.50  350.00909424    96.1220      6.4330      4.6498      3.5390      0.4898   0.0000
   5.50  350.00918579    89.1100      6.3950      4.6488      3.5400      0.4890   0.0000
   5.50  350.00930786    82.6290      6.3570      4.6478      3.5410      0.4883   0.0000
   5.50  350.00939941    76.6330      6.3190      4.6470      3.5430      0.4877   0.0000
   5.50  350.00949097    71.1970      6.2820      4.6463      3.5460      0.4872   0.0000
   5.50  350.00961304    65.9430      6.2430      4.6455      3.5480      0.4870   0.0000
   5.50  350.00973511    61.0870      6.2050      4.6448      3.5500      0.4868   0.0000
   5.50  350.00982666    56.5930      6.1680      4.6451      3.5560      0.4868   0.0000
   5.50  350.00994873    52.4270      6.1300      4.6459      3.5630      0.4872   0.0000
   5.50  350.01004028    48.5660      6.0930      4.6478      3.5750      0.4880   0.0000
   5.50  350.01013184    45.4800      6.0610      4.6506      3.5900      0.4891   0.0000
   5.50  350.01022339    42.9230      6.0320      4.6550      3.6100      0.4903   0.0000
   5.50  350.01028442    40.9020      6.0100      4.6613      3.6370      0.4917   0.0000
   5.50  350.01031494    39.4290      5.9930      4.6710      3.6770      0.4924   0.0000
   5.50  350.01034546    38.6020      5.9860      4.6884      3.7440      0.4929   0.0000
   5.50  350.01037598    37.5770      6.0310      4.8657      4.3970      0.4705   0.0000
   5.50  350.01040649    36.8040      6.0260      4.9572      4.7590      0.4681   0.0000
   5.50  350.01046753    35.0270      5.9890      4.9694      4.8220      0.5168   0.0000
   5.50  350.01055908    32.5410      5.9510      4.9676      4.8210      3.7940   0.0000
   5.50  350.01058960    31.2970      5.9330      4.9690      4.8290     27.9012   0.0000
   5.50  350.01074219    28.6330      5.8960      4.9651      4.8110     17.0552   0.0000
   5.50  350.01089478    26.7970      5.8740      4.9660      4.8080     10.7638   0.0000
   5.50  350.01101685    25.5600      5.8630      4.9731      4.8270      7.2097   0.0000
   5.50  350.01110840    25.0170      5.8610      4.9828      4.8580      5.8450   0.0000
   5.50  350.01113892    24.7920      5.8630      4.9935      4.8950      5.3641   0.0000
   5.50  350.01116943    24.5690      5.9700      5.1460      5.3940      5.0343   0.0000
 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.55    0.09000000     0.0900     -1.0770      3.4476      3.2120      0.4087   0.0000
   5.55    0.09480675     0.0950     -1.0420      3.4499      3.2090      0.4087   0.0000
   5.55    0.10452750     0.1040     -0.9740      3.4543      3.2010      0.4087   0.0000
   5.55    0.11609532     0.1160     -0.9090      3.4592      3.2010      0.4087   0.0000
   5.55    0.12794641     0.1280     -0.8410      3.4641      3.1940      0.4087   0.0000
   5.55    0.13928570     0.1390     -0.7850      3.4686      3.1930      0.4087   0.0000
   5.55    0.14000000     0.1400     -0.7820      3.4689      3.1940      0.4087   0.0000
   5.55    0.14712128     0.1470     -0.7500      3.4719      3.1950      0.4087   0.0000
   5.55    0.16000000     0.1600     -0.6830      3.4770      3.1850      0.4087   0.0000
   5.55    0.18656541     0.1870     -0.5640      3.4891      3.1810      0.4087   0.0000
   5.55    0.19999999     0.2000     -0.5200      3.4946      3.1890      0.4087   0.0000
   5.55    0.20814872     0.2080     -0.4800      3.4987      3.1840      0.4087   0.0000
   5.55    0.25000000     0.2500     -0.3150      3.5176      3.1740      0.4087   0.0000
   5.55    0.26323459     0.2630     -0.2650      3.5236      3.1700      0.4087   0.0000
   5.55    0.30000001     0.3000     -0.1300      3.5392      3.1540      0.4087   0.0000
   5.55    0.35000002     0.3500      0.0210      3.5572      3.1420      0.4087   0.0000
   5.55    0.36272296     0.3630      0.0500      3.5611      3.1440      0.4087   0.0000
   5.55    0.40000004     0.4000      0.1420      3.5722      3.1390      0.4087   0.0000
   5.55    0.43423551     0.4340      0.2020      3.5806      3.1470      0.4087   0.0000
   5.55    0.46429774     0.4640      0.2420      3.5870      3.1630      0.4087   0.0000
   5.55    0.48388079     0.4840      0.2670      3.5910      3.1720      0.4087   0.0000
   5.55    0.50000000     0.5000      0.2990      3.5945      3.1680      0.4087   0.0000
   5.55    0.50907832     0.5090      0.3010      3.5957      3.1780      0.4087   0.0000
   5.55    0.52075851     0.5210      0.3100      3.5974      3.1860      0.4087   0.0000
   5.55    0.53282958     0.5330      0.3260      3.5995      3.1890      0.4087   0.0000
   5.55    0.54570019     0.5450      0.3400      3.6021      3.1950      0.4087   0.0000
   5.55    0.55000001     0.5500      0.3440      3.6030      3.1980      0.4087   0.0000
   5.55    0.55651611     0.5560      0.3470      3.6038      3.2030      0.4087   0.0000
   5.55    0.57179821     0.5710      0.3610      3.6060      3.2100      0.4087   0.0000
   5.55    0.58815360     0.5880      0.3760      3.6086      3.2180      0.4087   0.0000
   5.55    0.60000002     0.6000      0.3850      3.6107      3.2250      0.4087   0.0000
   5.55    0.61131698     0.6110      0.3940      3.6121      3.2300      0.4087   0.0000
   5.55    0.63002300     0.6300      0.4110      3.6146      3.2370      0.4087   0.0000
   5.55    0.64999998     0.6500      0.4280      3.6176      3.2450      0.4087   0.0000
   5.55    0.66305381     0.6630      0.4390      3.6191      3.2490      0.4087   0.0000
   5.55    0.68153620     0.6820      0.4540      3.6213      3.2550      0.4087   0.0000
   5.55    0.70000005     0.7000      0.4690      3.6239      3.2620      0.4087   0.0000
